"﻿Nº Partido";"Nº Pareja";"Jugador 1";"Jugador 2";"Nº Pareja";"Jugador 3";"Jugador 4"
"Partido 69";"Pareja 1:";CLAUDIO;FABIAN;"Pareja 2:";FEDE;GUS
"Partido 70";"Pareja 1:";CELI;CLAUDIO;"Pareja 2:";"JUAN C";SOLE
"Partido 71";"Pareja 1:";FABIAN;"JUAN L";"Pareja 2:";DIEGO;JESI
"Partido 72";"Pareja 1:";ANITA;PULPO;"Pareja 2:";ADRIANA;SERVA
"Partido 73";"Pareja 1:";LEO;LUCAS;"Pareja 2:";PULPO;SERVA
"Partido 74";"Pareja 1:";NICO;PULPO;"Pareja 2:";JESI;FEDE
"Partido 75";"Pareja 1:";CELI;FEDE;"Pareja 2:";ADRIAN;DIEGO
"Partido 76";"Pareja 1:";LUCAS;PULPO;"Pareja 2:";DIEGO;GABI
"Partido 77";"Pareja 1:";LEO;DIEGO;"Pareja 2:";NICO;SERVA
"Partido 78";"Pareja 1:";CARI;"JUAN L";"Pareja 2:";GUS;SOLE
"Partido 79";"Pareja 1:";"JUAN C";LARI;"Pareja 2:";GABI;SERVA
"Partido 80";"Pareja 1:";CLAUDIO;LEO;"Pareja 2:";GABI;ADRIANA
"Partido 81";"Pareja 1:";ADRIAN;LEO;"Pareja 2:";GUS;CARI
"Partido 82";"Pareja 1:";LUCAS;ANITA;"Pareja 2:";SOLE;CARO
"Partido 83";"Pareja 1:";ADRIANA;FABIAN;"Pareja 2:";CARI;LUCAS
"Partido 84";"Pareja 1:";GABI;CLAUDIO;"Pareja 2:";"JUAN L";JESI
"Partido 85";"Pareja 1:";CELI;ADRIANA;"Pareja 2:";SERVA;FABIAN
"Partido 86";"Pareja 1:";ADRIAN;SOLE;"Pareja 2:";LEO;JESI
"Partido 87";"Pareja 1:";LARI;FABIAN;"Pareja 2:";SOLE;DIEGO
"Partido 88";"Pareja 1:";FABIAN;LEO;"Pareja 2:";PULPO;CARO
"Partido 89";"Pareja 1:";FEDE;"JUAN C";"Pareja 2:";ANITA;JESI
"Partido 90";"Pareja 1:";GABI;LARI;"Pareja 2:";FEDE;ADRIAN
"Partido 91";"Pareja 1:";GUS;ADRIAN;"Pareja 2:";SERVA;DIEGO
"Partido 92";"Pareja 1:";CARI;FEDE;"Pareja 2:";ANITA;"JUAN C"
"Partido 93";"Pareja 1:";CELI;SERVA;"Pareja 2:";PULPO;GABI
"Partido 94";"Pareja 1:";NICO;"JUAN C";"Pareja 2:";FABIAN;ADRIAN
"Partido 95";"Pareja 1:";SERVA;SOLE;"Pareja 2:";CARO;"JUAN C"
"Partido 96";"Pareja 1:";GUS;LEO;"Pareja 2:";CARO;FABIAN
"Partido 97";"Pareja 1:";CLAUDIO;ADRIANA;"Pareja 2:";LEO;CELI
"Partido 98";"Pareja 1:";LEO;FEDE;"Pareja 2:";GUS;LARI
"Partido 99";"Pareja 1:";GUS;FABIAN;"Pareja 2:";NICO;SOLE
"Partido 100";"Pareja 1:";GUS;GABI;"Pareja 2:";LARI;ANITA
"Partido 101";"Pareja 1:";CARO;SERVA;"Pareja 2:";FEDE;GABI
"Partido 102";"Pareja 1:";"JUAN L";"JUAN C";"Pareja 2:";LUCAS;FEDE
"Partido 103";"Pareja 1:";DIEGO;CARO;"Pareja 2:";CLAUDIO;ADRIAN
"Partido 104";"Pareja 1:";CLAUDIO;SOLE;"Pareja 2:";NICO;CARI
"Partido 105";"Pareja 1:";ADRIAN;PULPO;"Pareja 2:";SOLE;CARI
"Partido 106";"Pareja 1:";"JUAN L";ANITA;"Pareja 2:";CLAUDIO;DIEGO
"Partido 107";"Pareja 1:";ADRIAN;JESI;"Pareja 2:";"JUAN L";PULPO
"Partido 108";"Pareja 1:";LARI;CARI;"Pareja 2:";JESI;CELI
"Partido 109";"Pareja 1:";SERVA;LARI;"Pareja 2:";PULPO;"JUAN C"
"Partido 110";"Pareja 1:";CELI;CARO;"Pareja 2:";NICO;LUCAS
"Partido 111";"Pareja 1:";JESI;ADRIANA;"Pareja 2:";ANITA;GUS
"Partido 112";"Pareja 1:";NICO;LEO;"Pareja 2:";"JUAN C";GUS
"Partido 113";"Pareja 1:";ADRIANA;SOLE;"Pareja 2:";DIEGO;PULPO
"Partido 114";"Pareja 1:";NICO;DIEGO;"Pareja 2:";LUCAS;JESI
"Partido 115";"Pareja 1:";LARI;LUCAS;"Pareja 2:";GUS;CLAUDIO
"Partido 116";"Pareja 1:";CARI;CELI;"Pareja 2:";XXX;YYY
